 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
39,Justin Champagnie,WAS,24,1,1,0,22.5,147.6,73.2,74.4,10.5,0.00,20.0,12.5,16.1,14.9,0.0,56.3,59.2,16.0,88.60,20.3,42
40,Bennedict Mathurin,IND,23,3,2,1,17.7,130.4,97.5,32.9,5.9,0.25,4.8,5.9,18.0,12.5,19.0,80.8,84.4,29.9,106.53,20.1,115
41,Danny Wolf,BKN,21,3,2,1,13.5,104.7,103.5,1.2,57.1,1.71,33.3,8.1,19.5,14.1,19.4,73.1,75.7,24.2,100.99,20.0,85
41,Lachlan Olbrich,CHI,21,2,1,1,5.2,108.3,104.2,4.2,0.0,0.00,0.0,5.6,15.4,9.7,0.0,60.0,60.0,16.1,111.66,20.0,24
43,Alperen Sengun,HOU,23,2,2,0,22.6,140.4,119.8,20.6,43.9,9.00,43.9,4.9,19.0,12.0,4.9,64.7,74.8,19.3,103.41,19.9,99
44,Evan Mobley,CLE,24,2,0,2,21.8,104.9,95.2,9.7,22.2,1.00,16.2,2.3,18.5,11.2,16.2,62.5,67.6,27.9,113.39,19.8,102
45,Cam Spencer,MEM,25,3,0,3,15.5,92.4,108.4,-16.0,28.6,6.00,20.0,5.4,5.2,5.3,3.3,50.0,65.1,20.0,109.26,19.7,105
46,De'Andre Hunter,CLE,27,2,0,2,20.9,108.1,93.0,15.1,12.0,0.50,9.1,4.7,13.7,9.6,18.2,73.8,78.3,27.8,114.08,19.5,99
47,Jordan Goodwin,PHX,26,3,2,1,13.0,97.7,97.7,0.0,13.6,1.00,10.3,8.3,12.2,10.1,10.3,52.6,56.6,24.5,107.46,19.5,87
48,Shai Gilgeous-Alexander,OKC,27,1,1,0,19.7,104.3,102.2,2.2,45.5,1.67,29.4,0.0,5.0,2.4,17.6,88.9,88.9,24.0,112.06,19.4,46
49,Jalen Smith,CHI,25,3,2,1,13.3,112.8,88.6,24.2,22.2,6.00,23.1,5.8,29.2,17.0,3.8,44.1,50.9,19.6,104.57,19.4,86
50,Pascal Siakam,IND,31,2,1,1,18.8,139.0,103.5,35.5,20.0,6.00,23.1,9.4,7.5,8.3,3.8,78.9,79.7,21.5,107.04,19.4,82
51,Nikola Jokić,DEN,30,3,2,1,20.6,121.0,118.2,2.8,30.2,1.63,27.7,2.4,28.8,18.5,17.0,78.9,84.0,23.4,107.00,19.3,138
52,Luke Kornet,SAS,30,4,4,0,17.4,134.4,106.7,27.7,17.0,1.80,20.9,20.0,23.8,21.9,11.6,81.8,83.9,19.4,103.75,19.3,151
53,Keldon Johnson,SAS,26,4,4,0,19.8,136.0,95.8,40.2,5.1,0.75,7.7,8.8,11.8,10.5,10.3,87.5,91.4,18.3,102.81,19.2,172
54,Johnny Juzang,MIN,24,4,2,2,16.7,119.0,94.8,24.2,5.7,0.40,4.0,5.2,16.0,11.3,10.0,70.0,71.5,31.6,97.85,18.8,137
55,Matthew Cleveland,DAL,23,1,1,0,17.8,76.3,91.9,-15.6,28.6,1.00,20.0,6.3,14.3,10.8,20.0,50.0,59.5,19.0,101.41,18.8,38
56,Chris Paul,LAC,40,2,1,1,19.1,109.1,82.7,26.4,25.0,2.00,28.6,0.0,20.5,10.7,14.3,63.6,69.0,17.6,95.29,18.7,77
57,Devin Booker,PHX,28,3,2,1,26.2,117.8,98.8,18.9,32.1,2.13,22.7,2.6,6.3,4.5,10.7,48.8,58.8,29.9,102.59,18.6,169
58,Derrick White,BOS,31,2,2,0,24.5,138.0,96.3,41.7,40.5,3.75,31.9,2.1,13.4,8.7,8.5,52.0,57.9,25.6,105.31,18.5,108
